Source,Target,Weight
Gong T,Sinha A,1
Sinha A,Thielert M,1
Kimura H,Sinha A,1
Silke N,Sinha A,1
Rodriguez EH,Sinha A,1
Restivo G,Sinha A,1
Nguyen HH,Sinha A,1
Gross A,Sinha A,1
Feldmeyer L,Sinha A,1
Joerg L,Sinha A,1
Levesque MP,Sinha A,1
Murray PJ,Sinha A,1
Ingen-Housz-Oro S,Sinha A,1
Mund A,Sinha A,1
Abe R,Sinha A,1
Silke J,Sinha A,1
Ji C,Sinha A,2
French LE,Sinha A,1
Mann M,Sinha A,2
Metousis A,Zwiebel M,3
Metousis A,Satoh TK,1
Anzengruber F,Metousis A,1
Metousis A,Tanzer MC,1
Metousis A,Saito Y,1
Gong T,Metousis A,1
Kimura H,Metousis A,1
Metousis A,Silke N,1
Metousis A,Rodriguez EH,2
Metousis A,Restivo G,1
Metousis A,Nguyen HH,1
Gross A,Metousis A,1
Feldmeyer L,Metousis A,1
Joerg L,Metousis A,1
Levesque MP,Metousis A,1
Metousis A,Murray PJ,2
Ingen-Housz-Oro S,Metousis A,1
Abe R,Metousis A,1
Metousis A,Silke J,1
Ji C,Metousis A,2
French LE,Metousis A,1
Rosenberger FA,Zwiebel M,3
Rosenberger FA,Satoh TK,1
Anzengruber F,Rosenberger FA,1
Rosenberger FA,Tanzer MC,1
Rosenberger FA,Saito Y,1
Gong T,Rosenberger FA,1
Kimura H,Rosenberger FA,1
Rosenberger FA,Silke N,1
Rodriguez EH,Rosenberger FA,2
Restivo G,Rosenberger FA,1
Nguyen HH,Rosenberger FA,1
Gross A,Rosenberger FA,1
Feldmeyer L,Rosenberger FA,1
Joerg L,Rosenberger FA,1
Murray PJ,Rosenberger FA,1
Ingen-Housz-Oro S,Rosenberger FA,1
Abe R,Rosenberger FA,1
Rosenberger FA,Silke J,1
Ji C,Rosenberger FA,2
French LE,Rosenberger FA,1
Satoh TK,Zwiebel M,1
Anzengruber F,Zwiebel M,1
Strauss MT,Zwiebel M,1
Tanzer MC,Zwiebel M,1
Saito Y,Zwiebel M,1
Gong T,Zwiebel M,1
Thielert M,Zwiebel M,2
Kimura H,Zwiebel M,1
Silke N,Zwiebel M,1
Rodriguez EH,Zwiebel M,2
Restivo G,Zwiebel M,1
Nguyen HH,Zwiebel M,1
Gross A,Zwiebel M,1
Feldmeyer L,Zwiebel M,1
Joerg L,Zwiebel M,1
Levesque MP,Zwiebel M,2
Murray PJ,Zwiebel M,1
Ingen-Housz-Oro S,Zwiebel M,1
Mund A,Zwiebel M,1
Abe R,Zwiebel M,1
Silke J,Zwiebel M,1
Ji C,Zwiebel M,2
French LE,Zwiebel M,1
Mann M,Zwiebel M,4
Anzengruber F,Satoh TK,1
Satoh TK,Strauss MT,1
Satoh TK,Tanzer MC,1
Saito Y,Satoh TK,1
Gong T,Satoh TK,1
